['evaluation_performance_1.py', 'haberman']
       nu    gamma  precision    recall        f1
0    0.65  30.0000   0.296482  0.728395  0.421429
1    0.95  30.0000   0.265306  0.962963  0.416000
2    0.80  30.0000   0.276423  0.839506  0.415902
3    0.80  10.0000   0.274194  0.839506  0.413374
4    0.85  30.0000   0.269962  0.876543  0.412791
5    0.90  10.0000   0.266187  0.913580  0.412256
6    0.80   1.0000   0.273092  0.839506  0.412121
7    0.85  10.0000   0.268199  0.864198  0.409357
8    0.60  30.0000   0.292553  0.679012  0.408922
9    0.55  30.0000   0.301775  0.629630  0.408000
10   0.50  30.0000   0.317241  0.567901  0.407080
11   0.70  30.0000   0.280374  0.740741  0.406780
12   0.90  30.0000   0.262590  0.901235  0.406685
13   0.90   3.0000   0.261649  0.901235  0.405556
14   0.95   3.0000   0.258621  0.925926  0.404313
15   0.45  30.0000   0.316901  0.555556  0.403587
16   0.85   3.0000   0.262172  0.864198  0.402299
17   0.95  10.0000   0.256849  0.925926  0.402145
18   0.70  10.0000   0.275701  0.728395  0.400000
19   0.90   1.0000   0.288043  0.654321  0.400000
20   0.80   3.0000   0.269565  0.765432  0.398714
21   0.65  10.0000   0.282051  0.679012  0.398551
22   0.75  30.0000   0.268398  0.765432  0.397436
23   0.75   0.1000   0.267241  0.765432  0.396166
24   0.90   0.0300   0.271889  0.728395  0.395973
25   0.80   0.3000   0.270642  0.728395  0.394649
26   0.95   1.0000   0.291667  0.604938  0.393574
27   0.75  10.0000   0.266376  0.753086  0.393548
28   0.85   0.3000   0.297468  0.580247  0.393305
29   0.85   1.0000   0.266667  0.740741  0.392157
30   0.90   0.3000   0.295597  0.580247  0.391667
31   0.70   3.0000   0.268519  0.716049  0.390572
32   0.75   1.0000   0.263158  0.740741  0.388350
33   0.75   3.0000   0.263158  0.740741  0.388350
34   0.65   3.0000   0.266355  0.703704  0.386441
35   0.60  10.0000   0.278689  0.629630  0.386364
36   0.65   1.0000   0.265403  0.691358  0.383562
37   0.70   1.0000   0.270408  0.654321  0.382671
38   0.65   0.3000   0.267677  0.654321  0.379928
39   0.60   3.0000   0.273224  0.617284  0.378788
40   0.75   0.3000   0.270270  0.617284  0.375940
41   0.50  10.0000   0.290541  0.530864  0.375546
42   0.55  10.0000   0.276471  0.580247  0.374502
43   0.95   0.3000   0.286667  0.530864  0.372294
44   0.70   0.1000   0.273256  0.580247  0.371542
45   0.60   0.3000   0.263158  0.617284  0.369004
46   0.70   0.3000   0.272189  0.567901  0.368000
47   0.85   0.1000   0.288732  0.506173  0.367713
48   0.55   3.0000   0.270588  0.567901  0.366534
49   0.50   3.0000   0.286713  0.506173  0.366071
50   0.95   0.1000   0.323810  0.419753  0.365591
51   0.65   0.1000   0.271084  0.555556  0.364372
52   0.55   0.3000   0.269461  0.555556  0.362903
53   0.85   0.0100   0.333333  0.395062  0.361582
54   0.60   1.0000   0.262570  0.580247  0.361538
55   0.90   0.1000   0.314815  0.419753  0.359788
56   0.55   1.0000   0.266667  0.543210  0.357724
57   0.70   0.0001   0.326531  0.395062  0.357542
58   0.70   0.0003   0.326531  0.395062  0.357542
59   0.70   0.0010   0.326531  0.395062  0.357542
60   0.75   0.0001   0.326531  0.395062  0.357542
61   0.75   0.0003   0.326531  0.395062  0.357542
62   0.75   0.0010   0.326531  0.395062  0.357542
63   0.75   0.0030   0.326531  0.395062  0.357542
64   0.75   0.0100   0.326531  0.395062  0.357542
65   0.75   0.0300   0.326531  0.395062  0.357542
66   0.80   0.0001   0.326531  0.395062  0.357542
67   0.80   0.0003   0.326531  0.395062  0.357542
68   0.80   0.0010   0.326531  0.395062  0.357542
69   0.80   0.0030   0.326531  0.395062  0.357542
70   0.80   0.0100   0.326531  0.395062  0.357542
71   0.80   0.0300   0.326531  0.395062  0.357542
72   0.85   0.0001   0.326531  0.395062  0.357542
73   0.85   0.0003   0.326531  0.395062  0.357542
74   0.85   0.0010   0.326531  0.395062  0.357542
75   0.85   0.0030   0.326531  0.395062  0.357542
76   0.85   0.0300   0.287879  0.469136  0.356808
77   0.50   0.1000   0.259887  0.567901  0.356589
78   0.50   0.3000   0.259887  0.567901  0.356589
79   0.35   3.0000   0.333333  0.382716  0.356322
80   0.65   0.0001   0.320000  0.395062  0.353591
81   0.45   3.0000   0.283582  0.469136  0.353488
82   0.90   0.0003   0.326316  0.382716  0.352273
83   0.90   0.0010   0.326316  0.382716  0.352273
84   0.90   0.0030   0.326316  0.382716  0.352273
85   0.90   0.0100   0.326316  0.382716  0.352273
86   0.95   0.0001   0.326316  0.382716  0.352273
87   0.95   0.0003   0.326316  0.382716  0.352273
88   0.95   0.0010   0.326316  0.382716  0.352273
89   0.95   0.0030   0.326316  0.382716  0.352273
90   0.95   0.0100   0.326316  0.382716  0.352273
91   0.95   0.0300   0.326316  0.382716  0.352273
92   0.35  30.0000   0.316832  0.395062  0.351648
