/usr/bin/python /Users/LT/Documents/Uni/MA/increOCSVM/evaluation_2.py
mnist classes = 2
size: 500
       nu    gamma  precision    recall        f1
0    0.20   0.0003       0.73  1.000000  0.843931
1    0.20   0.0010       0.73  1.000000  0.843931
2    0.20   0.0030       0.73  1.000000  0.843931
3    0.20   0.0100       0.73  1.000000  0.843931
4    0.20   0.0300       0.73  1.000000  0.843931
5    0.20   0.1000       0.73  1.000000  0.843931
6    0.20   0.3000       0.73  1.000000  0.843931
7    0.20   1.0000       0.73  1.000000  0.843931
8    0.20   3.0000       0.73  1.000000  0.843931
9    0.20  10.0000       0.73  1.000000  0.843931
10   0.20  30.0000       0.73  1.000000  0.843931
11   0.25   0.0001       0.73  1.000000  0.843931
12   0.40   0.0003       0.73  1.000000  0.843931
13   0.40   0.0010       0.73  1.000000  0.843931
14   0.40   0.0030       0.73  1.000000  0.843931
15   0.40   0.0100       0.73  1.000000  0.843931
16   0.40   0.0300       0.73  1.000000  0.843931
17   0.40   0.1000       0.73  1.000000  0.843931
18   0.40   0.3000       0.73  1.000000  0.843931
19   0.40   1.0000       0.73  1.000000  0.843931
20   0.40   3.0000       0.73  1.000000  0.843931
21   0.40  10.0000       0.73  1.000000  0.843931
22   0.40  30.0000       0.73  1.000000  0.843931
23   0.45   0.0001       0.73  1.000000  0.843931
24   0.55   0.0003       0.73  1.000000  0.843931
25   0.55   0.0010       0.73  1.000000  0.843931
26   0.55   0.0030       0.73  1.000000  0.843931
27   0.55   0.0100       0.73  1.000000  0.843931
28   0.55   0.0300       0.73  1.000000  0.843931
29   0.55   0.1000       0.73  1.000000  0.843931
30   0.55   0.3000       0.73  1.000000  0.843931
31   0.55   1.0000       0.73  1.000000  0.843931
32   0.55   3.0000       0.73  1.000000  0.843931
33   0.55  10.0000       0.73  1.000000  0.843931
34   0.55  30.0000       0.73  1.000000  0.843931
35   0.60   0.0001       0.73  1.000000  0.843931
36   0.65   0.0003       0.73  1.000000  0.843931
37   0.65   0.0010       0.73  1.000000  0.843931
38   0.65   0.0030       0.73  1.000000  0.843931
39   0.65   0.0100       0.73  1.000000  0.843931
40   0.65   0.0300       0.73  1.000000  0.843931
41   0.65   0.1000       0.73  1.000000  0.843931
42   0.65   0.3000       0.73  1.000000  0.843931
43   0.65   1.0000       0.73  1.000000  0.843931
44   0.65   3.0000       0.73  1.000000  0.843931
45   0.65  10.0000       0.73  1.000000  0.843931
46   0.65  30.0000       0.73  1.000000  0.843931
47   0.70   0.0001       0.73  1.000000  0.843931
48   0.80   0.0003       0.73  1.000000  0.843931
49   0.80   0.0010       0.73  1.000000  0.843931
50   0.80   0.0030       0.73  1.000000  0.843931
51   0.80   0.0100       0.73  1.000000  0.843931
52   0.80   0.0300       0.73  1.000000  0.843931
53   0.80   0.1000       0.73  1.000000  0.843931
54   0.80   0.3000       0.73  1.000000  0.843931
55   0.80   1.0000       0.73  1.000000  0.843931
56   0.80   3.0000       0.73  1.000000  0.843931
57   0.80  10.0000       0.73  1.000000  0.843931
58   0.80  30.0000       0.73  1.000000  0.843931
59   0.90   0.0001       0.73  1.000000  0.843931
60   0.95   0.0001       0.73  1.000000  0.843931
61   0.05   0.0001       0.76  0.208219  0.326882
62   0.05   0.0003       0.76  0.208219  0.326882
63   0.05   0.0010       0.76  0.208219  0.326882
64   0.05   0.0030       0.76  0.208219  0.326882
65   0.05   0.0100       0.76  0.208219  0.326882
66   0.05   0.0300       0.76  0.208219  0.326882
67   0.05   0.1000       0.76  0.208219  0.326882
68   0.05   0.3000       0.76  0.208219  0.326882
69   0.05   1.0000       0.76  0.208219  0.326882
70   0.05   3.0000       0.76  0.208219  0.326882
71   0.05  10.0000       0.76  0.208219  0.326882
72   0.05  30.0000       0.76  0.208219  0.326882
73   0.10   0.0001       0.76  0.208219  0.326882
74   0.10   0.0003       0.76  0.208219  0.326882
75   0.10   0.0010       0.76  0.208219  0.326882
76   0.10   0.0030       0.76  0.208219  0.326882
77   0.10   0.0100       0.76  0.208219  0.326882
78   0.10   0.0300       0.76  0.208219  0.326882
79   0.10   0.1000       0.76  0.208219  0.326882
80   0.10   0.3000       0.76  0.208219  0.326882
81   0.10   1.0000       0.76  0.208219  0.326882
82   0.10   3.0000       0.76  0.208219  0.326882
83   0.10  10.0000       0.76  0.208219  0.326882
84   0.10  30.0000       0.76  0.208219  0.326882
85   0.15   0.0001       0.76  0.208219  0.326882
86   0.15   0.0003       0.76  0.208219  0.326882
87   0.15   0.0010       0.76  0.208219  0.326882
88   0.15   0.0030       0.76  0.208219  0.326882
89   0.15   0.0100       0.76  0.208219  0.326882
90   0.15   0.0300       0.76  0.208219  0.326882
91   0.15   0.1000       0.76  0.208219  0.326882
92   0.15   0.3000       0.76  0.208219  0.326882
93   0.15   1.0000       0.76  0.208219  0.326882
94   0.15   3.0000       0.76  0.208219  0.326882
95   0.15  10.0000       0.76  0.208219  0.326882
96   0.15  30.0000       0.76  0.208219  0.326882
97   0.20   0.0001       0.76  0.208219  0.326882
98   0.25   0.0003       0.76  0.208219  0.326882
99   0.25   0.0010       0.76  0.208219  0.326882
100  0.25   0.0030       0.76  0.208219  0.326882
101  0.25   0.0100       0.76  0.208219  0.326882
102  0.25   0.0300       0.76  0.208219  0.326882
103  0.25   0.1000       0.76  0.208219  0.326882
104  0.25   0.3000       0.76  0.208219  0.326882
105  0.25   1.0000       0.76  0.208219  0.326882
106  0.25   3.0000       0.76  0.208219  0.326882
107  0.25  10.0000       0.76  0.208219  0.326882
108  0.25  30.0000       0.76  0.208219  0.326882
109  0.30   0.0001       0.76  0.208219  0.326882
110  0.30   0.0003       0.76  0.208219  0.326882
111  0.30   0.0010       0.76  0.208219  0.326882
112  0.30   0.0030       0.76  0.208219  0.326882
113  0.30   0.0100       0.76  0.208219  0.326882
114  0.30   0.0300       0.76  0.208219  0.326882
115  0.30   0.1000       0.76  0.208219  0.326882
116  0.30   0.3000       0.76  0.208219  0.326882
117  0.30   1.0000       0.76  0.208219  0.326882
118  0.30   3.0000       0.76  0.208219  0.326882
119  0.30  10.0000       0.76  0.208219  0.326882
120  0.30  30.0000       0.76  0.208219  0.326882
