mnist classes = 2
size: 1000
(122,)
(878,)
       nu    gamma  precision    recall        f1
0    0.45   0.0001   0.887765  1.000000  0.940546
1    0.15   0.0001   0.883300  1.000000  0.938034
2    0.50   0.0001   0.883300  1.000000  0.938034
3    0.60   0.0001   0.883300  1.000000  0.938034
4    0.65   0.0001   0.883300  1.000000  0.938034
5    0.75   0.0001   0.883300  1.000000  0.938034
6    0.85   0.0001   0.883300  1.000000  0.938034
7    0.95   0.0001   0.883300  1.000000  0.938034
8    0.80   0.0001   0.881526  1.000000  0.937033
9    0.05   0.0001   0.879760  1.000000  0.936034
10   0.10   0.0001   0.879760  1.000000  0.936034
11   0.20   0.0001   0.879760  1.000000  0.936034
12   0.25   0.0001   0.879760  1.000000  0.936034
13   0.40   0.0001   0.879760  1.000000  0.936034
14   0.55   0.0001   0.879760  1.000000  0.936034
15   0.15   0.0003   0.878000  1.000000  0.935037
16   0.15   0.0010   0.878000  1.000000  0.935037
17   0.15   0.0030   0.878000  1.000000  0.935037
18   0.15   0.0100   0.878000  1.000000  0.935037
19   0.15   0.0300   0.878000  1.000000  0.935037
20   0.15   0.1000   0.878000  1.000000  0.935037
21   0.15   0.3000   0.878000  1.000000  0.935037
22   0.15   1.0000   0.878000  1.000000  0.935037
23   0.15   3.0000   0.878000  1.000000  0.935037
24   0.15  10.0000   0.878000  1.000000  0.935037
25   0.15  30.0000   0.878000  1.000000  0.935037
26   0.30   0.0003   0.878000  1.000000  0.935037
27   0.30   0.0010   0.878000  1.000000  0.935037
28   0.30   0.0030   0.878000  1.000000  0.935037
29   0.30   0.0100   0.878000  1.000000  0.935037
30   0.30   0.0300   0.878000  1.000000  0.935037
31   0.30   0.1000   0.878000  1.000000  0.935037
32   0.30   0.3000   0.878000  1.000000  0.935037
33   0.30   1.0000   0.878000  1.000000  0.935037
34   0.30   3.0000   0.878000  1.000000  0.935037
35   0.30  10.0000   0.878000  1.000000  0.935037
36   0.30  30.0000   0.878000  1.000000  0.935037
37   0.45   0.0003   0.878000  1.000000  0.935037
38   0.45   0.0010   0.878000  1.000000  0.935037
39   0.45   0.0030   0.878000  1.000000  0.935037
40   0.45   0.0100   0.878000  1.000000  0.935037
41   0.45   0.0300   0.878000  1.000000  0.935037
42   0.45   0.1000   0.878000  1.000000  0.935037
43   0.45   0.3000   0.878000  1.000000  0.935037
44   0.45   1.0000   0.878000  1.000000  0.935037
45   0.45   3.0000   0.878000  1.000000  0.935037
46   0.45  10.0000   0.878000  1.000000  0.935037
47   0.45  30.0000   0.878000  1.000000  0.935037
48   0.55   0.0003   0.878000  1.000000  0.935037
49   0.55   0.0010   0.878000  1.000000  0.935037
50   0.55   0.0030   0.878000  1.000000  0.935037
51   0.55   0.0100   0.878000  1.000000  0.935037
52   0.55   0.0300   0.878000  1.000000  0.935037
53   0.55   0.1000   0.878000  1.000000  0.935037
54   0.55   0.3000   0.878000  1.000000  0.935037
55   0.55   1.0000   0.878000  1.000000  0.935037
56   0.55   3.0000   0.878000  1.000000  0.935037
57   0.55  10.0000   0.878000  1.000000  0.935037
58   0.55  30.0000   0.878000  1.000000  0.935037
59   0.60   0.0003   0.878000  1.000000  0.935037
60   0.60   0.0010   0.878000  1.000000  0.935037
61   0.60   0.0030   0.878000  1.000000  0.935037
62   0.60   0.0100   0.878000  1.000000  0.935037
63   0.60   0.0300   0.878000  1.000000  0.935037
64   0.60   0.1000   0.878000  1.000000  0.935037
65   0.60   0.3000   0.878000  1.000000  0.935037
66   0.60   1.0000   0.878000  1.000000  0.935037
67   0.60   3.0000   0.878000  1.000000  0.935037
68   0.60  10.0000   0.878000  1.000000  0.935037
69   0.60  30.0000   0.878000  1.000000  0.935037
70   0.75   0.0003   0.878000  1.000000  0.935037
71   0.75   0.0010   0.878000  1.000000  0.935037
72   0.75   0.0030   0.878000  1.000000  0.935037
73   0.75   0.0100   0.878000  1.000000  0.935037
74   0.75   0.0300   0.878000  1.000000  0.935037
75   0.75   0.1000   0.878000  1.000000  0.935037
76   0.75   0.3000   0.878000  1.000000  0.935037
77   0.75   1.0000   0.878000  1.000000  0.935037
78   0.75   3.0000   0.878000  1.000000  0.935037
79   0.75  10.0000   0.878000  1.000000  0.935037
80   0.75  30.0000   0.878000  1.000000  0.935037
81   0.85   0.0003   0.878000  1.000000  0.935037
82   0.85   0.0010   0.878000  1.000000  0.935037
83   0.85   0.0030   0.878000  1.000000  0.935037
84   0.85   0.0100   0.878000  1.000000  0.935037
85   0.85   0.0300   0.878000  1.000000  0.935037
86   0.85   0.1000   0.878000  1.000000  0.935037
87   0.85   0.3000   0.878000  1.000000  0.935037
88   0.85   1.0000   0.878000  1.000000  0.935037
89   0.85   3.0000   0.878000  1.000000  0.935037
90   0.85  10.0000   0.878000  1.000000  0.935037
91   0.85  30.0000   0.878000  1.000000  0.935037
92   0.90   0.0003   0.878000  1.000000  0.935037
93   0.90   0.0010   0.878000  1.000000  0.935037
94   0.90   0.0030   0.878000  1.000000  0.935037
95   0.90   0.0100   0.878000  1.000000  0.935037
96   0.90   0.0300   0.878000  1.000000  0.935037
