page-blocks0
       nu    gamma  precision    recall        f1
0    0.95  10.0000   0.893463  0.954203  0.922835
1    0.95  30.0000   0.893402  0.953593  0.922516
2    0.95   3.0000   0.891751  0.937309  0.913962
3    0.90  30.0000   0.888401  0.905760  0.896997
4    0.90  10.0000   0.887976  0.901893  0.894880
5    0.90   3.0000   0.887525  0.897822  0.892644
6    0.85  30.0000   0.882760  0.856707  0.869538
7    0.85  10.0000   0.881968  0.850193  0.865789
8    0.85   1.0000   0.881417  0.845715  0.863197
9    0.85   3.0000   0.880043  0.834724  0.856785
10   0.90   0.3000   0.876521  0.806228  0.839907
11   0.80  30.0000   0.875778  0.802158  0.837353
12   0.80   3.0000   0.875167  0.797680  0.834629
13   0.80  10.0000   0.875028  0.796662  0.834008
14   0.90   1.0000   0.874888  0.794219  0.832604
15   0.80   1.0000   0.874154  0.788927  0.829357
16   0.75  30.0000   0.868254  0.749847  0.804718
17   0.75  10.0000   0.868160  0.749237  0.804326
18   0.80   0.3000   0.867991  0.746794  0.802845
19   0.75   3.0000   0.867490  0.743538  0.800745
20   0.70   0.3000   0.862528  0.712599  0.780428
21   0.70   1.0000   0.860185  0.698758  0.771114
22   0.70  30.0000   0.859618  0.696723  0.769646
23   0.70   3.0000   0.859446  0.694484  0.768209
24   0.70  10.0000   0.858696  0.691431  0.766039
25   0.65   3.0000   0.855403  0.671891  0.752622
26   0.65   1.0000   0.853965  0.664156  0.747195
27   0.65  30.0000   0.849852  0.644006  0.732747
28   0.65  10.0000   0.849148  0.639324  0.729447
29   0.95   1.0000   0.845558  0.621820  0.716631
30   0.60   1.0000   0.842016  0.605333  0.704322
31   0.60  30.0000   0.838252  0.589660  0.692317
32   0.60   0.3000   0.837932  0.587218  0.690522
33   0.75   1.0000   0.837885  0.587014  0.690365
34   0.60   3.0000   0.836747  0.582129  0.686592
35   0.60  10.0000   0.836747  0.582129  0.686592
36   0.75   0.1000   0.835979  0.578872  0.684065
37   0.80   0.1000   0.832382  0.564014  0.672410
38   0.50   0.0030   0.826845  0.540403  0.653619
39   0.55  30.0000   0.824197  0.532465  0.646964
40   0.85   0.3000   0.823641  0.530429  0.645289
41   0.55  10.0000   0.823306  0.529208  0.644282
42   0.55   1.0000   0.821383  0.522288  0.638547
43   0.55   3.0000   0.821268  0.521881  0.638208
44   0.65   0.1000   0.819767  0.516589  0.633787
45   0.45   0.3000   0.819277  0.512111  0.630261
46   0.75   0.3000   0.816327  0.504783  0.623821
47   0.65   0.3000   0.815109  0.500712  0.620351
48   0.40   0.1000   0.816008  0.500102  0.620141
49   0.40   0.3000   0.815579  0.498677  0.618921
50   0.65   0.0010   0.812984  0.491960  0.612985
51   0.35   0.1000   0.811905  0.485854  0.607921
52   0.50  30.0000   0.808511  0.479544  0.602019
53   0.45   0.1000   0.808884  0.478119  0.600998
54   0.50  10.0000   0.806920  0.474659  0.597719
55   0.50   3.0000   0.804759  0.468146  0.591944
56   0.55   0.3000   0.804844  0.466721  0.590827
57   0.50   0.3000   0.804432  0.465500  0.589737
58   0.50   1.0000   0.804156  0.464686  0.589009
59   0.15   0.0300   0.828987  0.452880  0.585758
60   0.25   0.1000   0.805696  0.454916  0.581501
61   0.20   0.0100   0.809524  0.453287  0.581159
62   0.15   0.0100   0.827560  0.447384  0.580790
63   0.20   0.1000   0.807211  0.446570  0.575023
64   0.50   0.1000   0.798767  0.448402  0.574371
65   0.20   0.0300   0.804787  0.438022  0.567286
66   0.60   0.0010   0.794531  0.437614  0.564379
67   0.45  30.0000   0.790147  0.427641  0.554939
68   0.30   0.0300   0.790476  0.422349  0.550544
69   0.80   0.0300   0.787913  0.421942  0.549576
70   0.45  10.0000   0.785385  0.415632  0.543591
71   0.90   0.1000   0.785302  0.415428  0.543397
72   0.95   0.3000   0.784556  0.413597  0.541650
73   0.05   0.0030   0.827197  0.402402  0.541421
74   0.45   1.0000   0.783994  0.410747  0.539068
75   0.45   3.0000   0.783048  0.409933  0.538143
76   0.05   0.0010   0.825885  0.398738  0.537817
77   0.30   0.1000   0.783635  0.405455  0.534406
78   0.05   0.0003   0.823630  0.391614  0.530832
79   0.10   0.0100   0.818143  0.391003  0.529128
80   0.05   0.0001   0.822184  0.387747  0.526971
81   0.85   0.1000   0.776978  0.395685  0.524343
82   0.75   0.0100   0.777244  0.394871  0.523687
83   0.40  30.0000   0.766848  0.372888  0.501780
84   0.60   0.1000   0.765697  0.369835  0.498765
85   0.40   1.0000   0.762864  0.362101  0.491097
86   0.40  10.0000   0.759793  0.359251  0.487839
87   0.25   0.0300   0.765817  0.354773  0.484907
88   0.40   3.0000   0.758380  0.354570  0.483218
89   0.70   0.0010   0.754525  0.347853  0.476177
90   0.70   0.1000   0.750449  0.340322  0.468282
91   0.35   0.3000   0.751135  0.336658  0.464933
92   0.55   0.1000   0.747727  0.334826  0.462533
93   0.10   0.0030   0.787772  0.317321  0.452409
94   0.25   0.0100   0.747132  0.318136  0.446253
95   0.35  30.0000   0.735266  0.314879  0.440929
96   0.10   0.0010   0.780743  0.303684  0.437280
97   0.10   0.0003   0.780168  0.302666  0.436134
98   0.55   0.0030   0.733141  0.309790  0.435542
99   0.10   0.0001   0.777424  0.298596  0.431471
100  0.35  10.0000   0.728027  0.303481  0.428387
101  0.35   3.0000   0.727046  0.296560  0.421281
102  0.35   1.0000   0.725176  0.294321  0.418706
103  0.40   0.0300   0.724987  0.293507  0.417850
104  0.45   0.0030   0.722952  0.291065  0.415034
105  0.85   0.0100   0.712066  0.279870  0.401812
106  0.45   0.0300   0.713089  0.277224  0.399238
107  0.40   0.0030   0.711498  0.274578  0.396240
108  0.75   0.0300   0.704473  0.269286  0.389633
109  0.80   0.0100   0.696487  0.258294  0.376837
110  0.30  30.0000   0.692774  0.255648  0.373476
111  0.35   0.0300   0.697596  0.254020  0.372426
112  0.95   0.1000   0.687606  0.247303  0.363772
113  0.30  10.0000   0.685828  0.245268  0.361319
114  0.30   0.3000   0.690656  0.242215  0.358650
115  0.30   3.0000   0.685282  0.239772  0.355247
116  0.30   1.0000   0.685413  0.238144  0.353474
117  0.45   0.0100   0.666667  0.221046  0.332009
118  0.25   0.3000   0.668786  0.214126  0.324391
119  0.80   0.0003   0.652983  0.207205  0.314586
120  0.25   1.0000   0.657516  0.204763  0.312277
121  0.55   0.0300   0.643519  0.198046  0.302879
122  0.25  30.0000   0.632911  0.193365  0.296227
123  0.25  10.0000   0.631507  0.187665  0.289346
124  0.25   3.0000   0.631542  0.184205  0.285219
125  0.50   0.0300   0.594697  0.159780  0.251885
126  0.20   1.0000   0.594300  0.144311  0.232231
127  0.15   0.0030   0.620072  0.140851  0.229557
128  0.20   0.3000   0.592048  0.139426  0.225700
129  0.20  30.0000   0.559967  0.137798  0.221170
130  0.15   0.0001   0.608133  0.133930  0.219516
131  0.15   0.0003   0.607771  0.133727  0.219219
132  0.15   0.0010   0.606679  0.133116  0.218327
133  0.20  10.0000   0.560708  0.135355  0.218069
134  0.20   3.0000   0.567753  0.134745  0.217799
135  0.35   0.0030   0.544572  0.125585  0.204102
136  0.60   0.0300   0.538865  0.125585  0.203698
137  0.50   0.0100   0.537037  0.123957  0.201422
138  0.30   0.0100   0.524254  0.114390  0.187803
139  0.55   0.0010   0.512218  0.110930  0.182366
140  0.10   0.1000   0.563656  0.105435  0.177641
