['evaluation_performance_1.py', 'pima']
       nu    gamma  precision    recall        f1
0    0.85   0.0030   0.393277  0.873134  0.542294
1    0.80   0.3000   0.386328  0.906716  0.541806
2    0.80   0.1000   0.386838  0.899254  0.540965
3    0.85   0.1000   0.377074  0.932836  0.537057
4    0.75   0.0100   0.397138  0.828358  0.536880
5    0.75   0.1000   0.393043  0.843284  0.536180
6    0.80   0.0300   0.393043  0.843284  0.536180
7    0.80   1.0000   0.382166  0.895522  0.535714
8    0.85   0.3000   0.375375  0.932836  0.535332
9    0.85   0.0300   0.376328  0.925373  0.535059
10   0.80   0.0100   0.389078  0.850746  0.533958
11   0.85   1.0000   0.375189  0.925373  0.533907
12   0.90   0.0300   0.372059  0.944030  0.533755
13   0.90   0.1000   0.366762  0.955224  0.530021
14   0.90   0.3000   0.366237  0.955224  0.529473
15   0.90   3.0000   0.366379  0.951493  0.529046
16   0.90   1.0000   0.365854  0.951493  0.528497
17   0.95   1.0000   0.360054  0.988806  0.527888
18   0.95   0.3000   0.359566  0.988806  0.527363
19   0.75   1.0000   0.384880  0.835821  0.527059
20   0.95   3.0000   0.359184  0.985075  0.526421
21   0.95   0.1000   0.358593  0.988806  0.526316
22   0.75   0.3000   0.392924  0.787313  0.524224
23   0.80   3.0000   0.375000  0.861940  0.522624
24   0.55   0.0300   0.396117  0.761194  0.521073
25   0.85   3.0000   0.367030  0.880597  0.518112
26   0.75   0.0300   0.402062  0.727612  0.517928
27   0.70   0.3000   0.395257  0.746269  0.516796
28   0.95  10.0000   0.353103  0.955224  0.515609
29   0.65   0.0100   0.395210  0.738806  0.514954
30   0.65   0.1000   0.395210  0.738806  0.514954
31   0.70   1.0000   0.385185  0.776119  0.514851
32   0.70   0.0100   0.393214  0.735075  0.512354
33   0.35   0.0100   0.390963  0.742537  0.512227
34   0.65   0.3000   0.392786  0.731343  0.511082
35   0.75   3.0000   0.373057  0.805970  0.510035
36   0.60   0.0300   0.398721  0.697761  0.507463
37   0.95  30.0000   0.346575  0.944030  0.507014
38   0.90  10.0000   0.351744  0.902985  0.506276
39   0.70   0.1000   0.394572  0.705224  0.506024
40   0.85  10.0000   0.356815  0.869403  0.505972
41   0.65   1.0000   0.387550  0.720149  0.503916
42   0.30   0.0300   0.389344  0.708955  0.502646
43   0.90  30.0000   0.348770  0.899254  0.502607
44   0.30   0.0030   0.389691  0.705224  0.501992
45   0.70   3.0000   0.374312  0.761194  0.501845
46   0.30   0.0100   0.388889  0.705224  0.501326
47   0.60   0.1000   0.395197  0.675373  0.498623
48   0.85  30.0000   0.349925  0.865672  0.498389
49   0.65   3.0000   0.380478  0.712687  0.496104
50   0.60   1.0000   0.390086  0.675373  0.494536
51   0.80  10.0000   0.354472  0.813433  0.493771
52   0.20   0.0001   0.383795  0.671642  0.488467
53   0.20   0.0003   0.383795  0.671642  0.488467
54   0.20   0.0010   0.383795  0.671642  0.488467
55   0.20   0.0030   0.383795  0.671642  0.488467
56   0.15   0.0030   0.382979  0.671642  0.487805
57   0.15   0.0100   0.382979  0.671642  0.487805
58   0.15   0.0001   0.384449  0.664179  0.487004
59   0.15   0.0003   0.384449  0.664179  0.487004
60   0.15   0.0010   0.384449  0.664179  0.487004
61   0.80  30.0000   0.349835  0.791045  0.485126
62   0.45   0.0100   0.383772  0.652985  0.483425
63   0.25   0.0001   0.378495  0.656716  0.480218
64   0.25   0.0003   0.378495  0.656716  0.480218
65   0.25   0.0010   0.378495  0.656716  0.480218
66   0.40   0.0300   0.381898  0.645522  0.479889
67   0.10   0.0001   0.382550  0.638060  0.478322
68   0.10   0.0003   0.382550  0.638060  0.478322
69   0.10   0.0010   0.382550  0.638060  0.478322
70   0.25   0.0030   0.377155  0.652985  0.478142
71   0.55   1.0000   0.393720  0.608209  0.478006
72   0.45   0.0300   0.382488  0.619403  0.472934
73   0.60   0.3000   0.396465  0.585821  0.472892
74   0.55   0.1000   0.387560  0.604478  0.472303
75   0.55   0.3000   0.387560  0.604478  0.472303
76   0.30   0.0003   0.380734  0.619403  0.471591
77   0.30   0.0010   0.380734  0.619403  0.471591
78   0.75  30.0000   0.346290  0.731343  0.470024
79   0.70  10.0000   0.353383  0.701493  0.470000
80   0.75  10.0000   0.345009  0.735075  0.469607
81   0.05   0.0001   0.380841  0.608209  0.468391
82   0.05   0.0010   0.380841  0.608209  0.468391
83   0.05   0.0003   0.379953  0.608209  0.467719
84   0.60   3.0000   0.370288  0.623134  0.464534
85   0.30   0.0001   0.371495  0.593284  0.456897
86   0.70  30.0000   0.343454  0.675373  0.455346
87   0.50   0.3000   0.383420  0.552239  0.452599
88   0.50   1.0000   0.382199  0.544776  0.449231
89   0.50   0.0300   0.377551  0.552239  0.448485
90   0.50   0.1000   0.376590  0.552239  0.447806
91   0.65  30.0000   0.348643  0.623134  0.447122
92   0.40   0.0030   0.378590  0.541045  0.445469
93   0.65  10.0000   0.346809  0.608209  0.441734
94   0.65   0.0300   0.391304  0.503731  0.440457
95   0.55   3.0000   0.363415  0.555970  0.439528
96   0.45   0.1000   0.389049  0.503731  0.439024
97   0.60  10.0000   0.345055  0.585821  0.434302
98   0.60  30.0000   0.347126  0.563433  0.429587
99   0.55  30.0000   0.350000  0.548507  0.427326
100  0.55  10.0000   0.350120  0.544776  0.426277
101  0.45   0.3000   0.379518  0.470149  0.420000
102  0.45   1.0000   0.376855  0.473881  0.419835
103  0.50   3.0000   0.359043  0.503731  0.419255
104  0.50  10.0000   0.360111  0.485075  0.413355
105  0.35   0.0010   0.382166  0.447761  0.412371
106  0.35   0.0030   0.382166  0.447761  0.412371
107  0.85   0.0100   0.396552  0.429104  0.412186
108  0.35   0.0001   0.379421  0.440299  0.407599
109  0.35   0.0003   0.379421  0.440299  0.407599
110  0.40   0.0100   0.378641  0.436567  0.405546
111  0.45   3.0000   0.360465  0.462687  0.405229
112  0.95   0.0010   0.374593  0.429104  0.400000
113  0.50  30.0000   0.348066  0.470149  0.400000
114  0.40   0.1000   0.375000  0.425373  0.398601
115  0.95   0.0300   0.373770  0.425373  0.397906
116  0.40   0.3000   0.373333  0.417910  0.394366
117  0.40   1.0000   0.372483  0.414179  0.392226
118  0.70   0.0300   0.417722  0.369403  0.392079
119  0.35   0.0300   0.374570  0.406716  0.389982
120  0.35   0.1000   0.375000  0.402985  0.388489
121  0.45  10.0000   0.351852  0.425373  0.385135
122  0.25   0.0100   0.368601  0.402985  0.385027
123  0.40   0.0001   0.384328  0.384328  0.384328
124  0.40   0.0003   0.384328  0.384328  0.384328
125  0.40   0.0010   0.382900  0.384328  0.383613
126  0.80   0.0030   0.416667  0.354478  0.383065
127  0.45  30.0000   0.352201  0.417910  0.382253
128  0.40  10.0000   0.357377  0.406716  0.380454
129  0.60   0.0100   0.405063  0.358209  0.380198
130  0.95   0.0100   0.403361  0.358209  0.379447
131  0.40   3.0000   0.361486  0.399254  0.379433
132  0.40  30.0000   0.344937  0.406716  0.373288
133  0.35   0.3000   0.378378  0.365672  0.371917
134  0.35   1.0000   0.378906  0.361940  0.370229
135  0.50   0.0100   0.374517  0.361940  0.368121
136  0.50   0.0003   0.405405  0.335821  0.367347
137  0.70   0.0001   0.422330  0.324627  0.367089
138  0.70   0.0003   0.422330  0.324627  0.367089
139  0.75   0.0010   0.420290  0.324627  0.366316
140  0.75   0.0030   0.420290  0.324627  0.366316
141  0.55   0.0010   0.411215  0.328358  0.365145
142  0.55   0.0030   0.411215  0.328358  0.365145
143  0.55   0.0100   0.411215  0.328358  0.365145
144  0.95   0.0001   0.416268  0.324627  0.364780
145  0.95   0.0003   0.416268  0.324627  0.364780
146  0.95   0.0030   0.416268  0.324627  0.364780
147  0.75   0.0003   0.421569  0.320896  0.364407
148  0.55   0.0001   0.409302  0.328358  0.364389
149  0.55   0.0003   0.409302  0.328358  0.364389
150  0.50   0.0010   0.402715  0.332090  0.364008
151  0.50   0.0030   0.402715  0.332090  0.364008
152  0.50   0.0001   0.396476  0.335821  0.363636
153  0.70   0.0010   0.419512  0.320896  0.363636
