segment0
       nu    gamma  precision    recall        f1
0    0.95  10.0000   0.862602  0.958060  0.907829
1    0.95  30.0000   0.860846  0.956544  0.906175
2    0.95   3.0000   0.861833  0.955028  0.906040
3    0.95   1.0000   0.860465  0.953512  0.904602
4    0.95   0.1000   0.856429  0.952501  0.901914
5    0.95   0.3000   0.857403  0.950985  0.901773
6    0.90  10.0000   0.867274  0.914603  0.890310
7    0.90   0.3000   0.866059  0.911572  0.888232
8    0.90  30.0000   0.863073  0.914098  0.887853
9    0.90   0.1000   0.864878  0.912077  0.887850
10   0.90   1.0000   0.864748  0.911066  0.887303
11   0.90   3.0000   0.863158  0.911572  0.886704
12   0.85  10.0000   0.871342  0.872663  0.872002
13   0.85   0.3000   0.869873  0.868115  0.868993
14   0.85   0.1000   0.869742  0.867105  0.868421
15   0.85   1.0000   0.868728  0.866094  0.867409
16   0.85   3.0000   0.867037  0.866599  0.866818
17   0.85  30.0000   0.864688  0.868621  0.866650
18   0.90   0.0003   0.872708  0.841839  0.856996
19   0.80  10.0000   0.876411  0.824154  0.849479
20   0.80   0.1000   0.869775  0.820111  0.844213
21   0.80   3.0000   0.871298  0.817585  0.843587
22   0.80   0.3000   0.870032  0.818595  0.843530
23   0.80   1.0000   0.867457  0.813542  0.839635
24   0.80   0.0010   0.870633  0.805963  0.837051
25   0.85   0.0300   0.870421  0.804447  0.836134
26   0.80  30.0000   0.865583  0.806973  0.835251
27   0.85   0.0100   0.871074  0.798888  0.833421
28   0.75  10.0000   0.879202  0.779687  0.826460
29   0.75   3.0000   0.878944  0.774128  0.823213
30   0.75   1.0000   0.871042  0.764528  0.814316
31   0.75  30.0000   0.863868  0.769581  0.814003
32   0.75   0.3000   0.869891  0.763517  0.813240
33   0.95   0.0100   0.869867  0.759980  0.811219
34   0.75   0.1000   0.869591  0.751390  0.806181
35   0.75   0.0030   0.868622  0.748358  0.804017
36   0.70  10.0000   0.881707  0.730672  0.799116
37   0.70   3.0000   0.880148  0.723598  0.794232
38   0.70   1.0000   0.875536  0.721577  0.791136
39   0.70   0.3000   0.870690  0.714502  0.784901
40   0.70   0.1000   0.869538  0.713997  0.784129
41   0.70  30.0000   0.861538  0.707428  0.776915
42   0.70   0.0030   0.868719  0.698838  0.774573
43   0.70   0.0300   0.872611  0.692269  0.772048
44   0.65  10.0000   0.882314  0.670541  0.761987
45   0.90   0.0300   0.882157  0.669530  0.761275
46   0.65   1.0000   0.878387  0.671551  0.761168
47   0.65   0.1000   0.878146  0.670035  0.760103
48   0.65   0.0030   0.875908  0.670541  0.759588
49   0.65   0.3000   0.878486  0.668519  0.759254
50   0.65   0.0300   0.876740  0.668519  0.758601
51   0.65   3.0000   0.878244  0.667004  0.758185
52   0.70   0.0100   0.881874  0.656392  0.752607
53   0.65  30.0000   0.861528  0.666498  0.751567
54   0.75   0.0300   0.883754  0.637696  0.740828
55   0.85   0.0010   0.884129  0.636180  0.739935
56   0.60   0.0300   0.886686  0.632643  0.738425
57   0.60   0.1000   0.886510  0.627590  0.734911
58   0.60   1.0000   0.884918  0.625568  0.732978
59   0.60   0.3000   0.887213  0.624053  0.732720
60   0.60  10.0000   0.885364  0.620515  0.729649
61   0.60   3.0000   0.878223  0.619505  0.726519
62   0.70   0.0010   0.887591  0.614452  0.726187
63   0.80   0.0100   0.885125  0.607377  0.720408
64   0.55   0.0300   0.895143  0.586660  0.708791
65   0.55   0.3000   0.895349  0.583628  0.706638
66   0.60  30.0000   0.863836  0.596261  0.705531
67   0.55   0.1000   0.896175  0.580091  0.704294
68   0.55   0.0100   0.897395  0.574533  0.700555
69   0.55   1.0000   0.888976  0.574533  0.697974
70   0.55   3.0000   0.886115  0.574027  0.696719
71   0.55  10.0000   0.885848  0.572511  0.695519
72   0.55  30.0000   0.862625  0.567964  0.684948
73   0.60   0.0030   0.899007  0.548762  0.681519
74   0.50   0.0300   0.901420  0.545225  0.679471
75   0.95   0.0300   0.895522  0.545730  0.678179
76   0.50   0.0100   0.900086  0.528044  0.665605
77   0.50   0.3000   0.901554  0.527539  0.665604
78   0.50   1.0000   0.895637  0.529055  0.665184
79   0.50   0.1000   0.900000  0.527539  0.665180
80   0.50   3.0000   0.892427  0.524002  0.660299
81   0.10   0.0030   0.881903  0.524507  0.657795
82   0.50  10.0000   0.884319  0.521475  0.656071
83   0.20   0.0100   0.887543  0.518444  0.654545
84   0.05   0.0001   0.873622  0.520465  0.652312
85   0.05   0.0003   0.873622  0.520465  0.652312
86   0.30   0.0030   0.894410  0.509348  0.649066
87   0.50  30.0000   0.861577  0.518949  0.647745
88   0.25   0.0100   0.889283  0.507327  0.646075
89   0.45   0.0100   0.897482  0.504295  0.645746
90   0.45   0.1000   0.899008  0.503790  0.645725
91   0.10   0.0003   0.883700  0.506822  0.644188
92   0.10   0.0010   0.883700  0.506822  0.644188
93   0.10   0.0001   0.884276  0.505811  0.643523
94   0.45   0.0300   0.899091  0.499747  0.642416
95   0.15   0.0001   0.887792  0.499747  0.639509
96   0.15   0.0003   0.887792  0.499747  0.639509
97   0.15   0.0010   0.886996  0.499747  0.639302
98   0.80   0.0300   0.906890  0.492168  0.638061
99   0.25   0.0001   0.892857  0.492673  0.634972
100  0.25   0.0003   0.892759  0.492168  0.634528
101  0.25   0.0010   0.892759  0.492168  0.634528
102  0.25   0.0030   0.892759  0.492168  0.634528
103  0.20   0.0001   0.887170  0.492673  0.633528
104  0.20   0.0003   0.887170  0.492673  0.633528
105  0.20   0.0010   0.887170  0.492673  0.633528
106  0.20   0.0030   0.887170  0.492673  0.633528
107  0.30   0.0001   0.894249  0.487115  0.630684
108  0.30   0.0003   0.894249  0.487115  0.630684
109  0.30   0.0010   0.894249  0.487115  0.630684
110  0.35   0.0030   0.896165  0.484083  0.628609
111  0.35   0.0010   0.895872  0.482567  0.627258
112  0.35   0.0001   0.895775  0.482062  0.626807
113  0.35   0.0003   0.895775  0.482062  0.626807
114  0.45   1.0000   0.899905  0.477009  0.623514
115  0.45   0.3000   0.901435  0.475998  0.623016
116  0.45   3.0000   0.896750  0.473977  0.620165
117  0.60   0.0100   0.908293  0.470440  0.619840
118  0.40   0.0010   0.901354  0.470945  0.618653
119  0.40   0.0030   0.901354  0.470945  0.618653
120  0.40   0.0003   0.901258  0.470440  0.618194
121  0.45  10.0000   0.884181  0.474482  0.617560
122  0.40   0.0001   0.900778  0.467913  0.615896
123  0.45  30.0000   0.861653  0.468924  0.607330
124  0.45   0.0030   0.906061  0.453259  0.604244
125  0.45   0.0001   0.905680  0.451238  0.602361
126  0.45   0.0003   0.905680  0.451238  0.602361
127  0.45   0.0010   0.905680  0.451238  0.602361
128  0.50   0.0001   0.911672  0.438100  0.591809
129  0.40   0.1000   0.904266  0.439111  0.591156
130  0.65   0.0100   0.916136  0.436079  0.590894
