['evaluation_performance_1.py', 'yeast1']
       nu    gamma  precision    recall        f1
0    0.95  30.0000   0.288842  0.953380  0.443360
1    0.95  10.0000   0.288448  0.948718  0.442391
2    0.95   3.0000   0.287932  0.951049  0.442037
3    0.95   1.0000   0.287526  0.951049  0.441558
4    0.95   0.3000   0.286123  0.932401  0.437876
5    0.90   1.0000   0.286034  0.892774  0.433258
6    0.90   3.0000   0.285821  0.892774  0.433013
7    0.90  30.0000   0.285180  0.888112  0.431728
8    0.90  10.0000   0.283582  0.885781  0.429621
9    0.85  30.0000   0.287074  0.843823  0.428402
10   0.85  10.0000   0.284579  0.834499  0.424422
11   0.85   3.0000   0.283452  0.834499  0.423168
12   0.85   1.0000   0.283123  0.836830  0.423100
13   0.80  30.0000   0.285117  0.794872  0.419692
14   0.80  10.0000   0.282845  0.787879  0.416256
15   0.80   3.0000   0.280672  0.778555  0.412600
16   0.80   1.0000   0.280374  0.769231  0.410959
17   0.80   0.3000   0.279561  0.771562  0.410415
18   0.75  10.0000   0.281891  0.736597  0.407742
19   0.75   0.3000   0.281867  0.731935  0.406999
20   0.85   0.1000   0.278689  0.752914  0.406801
21   0.75   3.0000   0.281250  0.734266  0.406714
22   0.85   0.0030   0.281362  0.731935  0.406472
23   0.75   1.0000   0.281979  0.703963  0.402667
24   0.70  30.0000   0.283668  0.692308  0.402439
25   0.75  30.0000   0.277228  0.717949  0.400000
26   0.75   0.0100   0.280225  0.696970  0.399733
27   0.70   1.0000   0.280718  0.692308  0.399462
28   0.70   0.0100   0.280152  0.687646  0.398111
29   0.70   0.3000   0.280347  0.678322  0.396728
30   0.70  10.0000   0.279808  0.678322  0.396188
31   0.70   3.0000   0.277778  0.675991  0.393754
32   0.65   0.0300   0.280597  0.657343  0.393305
33   0.65   0.1000   0.281000  0.655012  0.393282
34   0.60  30.0000   0.289183  0.610723  0.392509
35   0.65  30.0000   0.281314  0.638695  0.390592
36   0.65   3.0000   0.280124  0.634033  0.388571
37   0.80   0.1000   0.277666  0.643357  0.387913
38   0.65   0.3000   0.278520  0.631702  0.386591
39   0.65  10.0000   0.278638  0.629371  0.386266
40   0.65   1.0000   0.277380  0.631702  0.385491
41   0.65   0.0100   0.277034  0.627040  0.384286
42   0.85   0.3000   0.276356  0.629371  0.384068
43   0.55  30.0000   0.290909  0.559441  0.382775
44   0.60  10.0000   0.279510  0.585082  0.378297
45   0.60   0.0300   0.274489  0.594406  0.375552
46   0.60   0.3000   0.276360  0.580420  0.374436
47   0.60   1.0000   0.277217  0.575758  0.374242
48   0.60   3.0000   0.276906  0.575758  0.373959
49   0.55  10.0000   0.282452  0.547786  0.372720
50   0.50  30.0000   0.288742  0.508159  0.368243
51   0.55   3.0000   0.278649  0.538462  0.367250
52   0.55   1.0000   0.276520  0.540793  0.365931
53   0.55   0.0300   0.277443  0.536131  0.365660
54   0.55   0.1000   0.276775  0.536131  0.365079
55   0.55   0.3000   0.276775  0.536131  0.365079
56   0.90   0.3000   0.274764  0.543124  0.364918
57   0.45   0.0300   0.279503  0.524476  0.364668
58   0.50   1.0000   0.284031  0.505828  0.363789
59   0.50   0.3000   0.281853  0.510490  0.363184
60   0.45   0.3000   0.276413  0.524476  0.362027
61   0.50   0.1000   0.275862  0.522145  0.360999
62   0.50  10.0000   0.282493  0.496503  0.360101
63   0.50   3.0000   0.280423  0.494172  0.357806
64   0.60   0.0100   0.284703  0.468531  0.354185
65   0.75   0.1000   0.277704  0.484848  0.353141
66   0.35   0.1000   0.282700  0.468531  0.352632
67   0.70   0.1000   0.281119  0.468531  0.351399
68   0.45  10.0000   0.284470  0.456876  0.350626
69   0.45  30.0000   0.282454  0.461538  0.350442
70   0.30   0.1000   0.281831  0.459207  0.349291
71   0.60   0.1000   0.286140  0.447552  0.349091
72   0.50   0.0300   0.280347  0.452214  0.346120
73   0.45   3.0000   0.280470  0.445221  0.344144
74   0.45   1.0000   0.278832  0.445221  0.342908
75   0.45   0.1000   0.277616  0.445221  0.341987
76   0.40   0.3000   0.278184  0.442890  0.341727
77   0.25   0.0100   0.278932  0.438228  0.340888
78   0.80   0.0030   0.283228  0.417249  0.337418
79   0.95   0.1000   0.274510  0.424242  0.333333
80   0.40  30.0000   0.280702  0.410256  0.333333
81   0.40  10.0000   0.274478  0.398601  0.325095
82   0.40   0.1000   0.274351  0.393939  0.323445
83   0.90   0.1000   0.281034  0.379953  0.323092
84   0.40   3.0000   0.274959  0.391608  0.323077
85   0.40   0.0300   0.273616  0.391608  0.322148
86   0.80   0.0300   0.282686  0.372960  0.321608
87   0.35  30.0000   0.285199  0.368298  0.321465
88   0.40   1.0000   0.272727  0.384615  0.319149
89   0.15   0.0100   0.271242  0.386946  0.318924
90   0.90   0.0030   0.282098  0.363636  0.317719
91   0.95   0.0300   0.281588  0.363636  0.317396
92   0.35   0.0300   0.273649  0.377622  0.317336
93   0.30   0.0100   0.273196  0.370629  0.314540
94   0.20   0.0100   0.271478  0.368298  0.312562
95   0.35  10.0000   0.280669  0.351981  0.312306
96   0.40   0.0001   0.286837  0.340326  0.311301
97   0.70   0.0300   0.279330  0.349650  0.310559
98   0.30   0.0300   0.285714  0.335664  0.308682
99   0.40   0.0003   0.284585  0.335664  0.308021
100  0.40   0.0010   0.284585  0.335664  0.308021
101  0.35   1.0000   0.274725  0.349650  0.307692
102  0.40   0.0030   0.284024  0.335664  0.307692
103  0.40   0.0100   0.284024  0.335664  0.307692
104  0.35   0.3000   0.272563  0.351981  0.307223
105  0.25   0.0300   0.279159  0.340326  0.306723
106  0.95   0.0010   0.277358  0.342657  0.306569
107  0.30   0.0001   0.280464  0.337995  0.306554
108  0.35   0.0001   0.281800  0.335664  0.306383
109  0.35   0.0010   0.281800  0.335664  0.306383
110  0.35   0.0030   0.281800  0.335664  0.306383
111  0.25   0.0001   0.279923  0.337995  0.306230
112  0.30   0.0003   0.279923  0.337995  0.306230
113  0.30   0.0010   0.279923  0.337995  0.306230
